,College_Name,State,City,URL_,Address,Phone_Number
23,Centre for Development of Advanced Computing - C-DAC Kolkata - Courses,West Bengal,Kolkata,https://cdac.in/index.aspx?id=acts,"Plot- E-2/1, Block-GP, Sector V, Salt Lake Electronics Complex, Bidhannagar, Kolkata, West Bengal 700091, India","['(033) 23579846, 23575989']"
24,Chinsurah Institute of Management Technology - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"Akhanbazar, Chinsurah, Hooghly, Kolkata, West Bengal 712101, India","['(033) 26805802, 26802631']"
25,Compete Infotech Academy,West Bengal,Kolkata,http://www.competeinfotechacademy.com/,"Corporate Office:- RDB Boulevard, Regus, 8th Floor, Room Number 830, Plot-K1, Sector V, Block EP & GP, Salt Lake City, Near Infinity Building, Big Cinema Building
, Kolkata, West Bengal 700064, India","[' 9433365039, 9830363622']"
26,Denature Edutech,West Bengal,Kolkata,,"4th Floor, Dum Dum Road, Kolkata, West Bengal 700074, India","[' 9073963574, 9073963575']"
27,Dinabandhu Andrews Institute of Technology and Management (DAITM) - Courses,West Bengal,Kolkata,http://www.daitm.org.in/,"Block-S, 1/406-A, Baishnabghata, Near Satyajit Roy Park, Patuli, Kolkata, West Bengal 700084, India","['(033) 24360099 / ', ' 9051880976, 9051880518']"
28,Dr. Zakir Husain Institute - Courses,West Bengal,Kolkata,http://www.zhi.org.in/,"Jaiswal House, 4th Floor, 8/1-C, Diamond Harbour Road, Kolkata, West Bengal 700027, India","[' 7687066548, 9433433659']"
29,Dreamzone School of Creative Studies - Courses,West Bengal,Kolkata,https://www.dreamzone.co.in/,"56/70, Netaji Subash Chandra Bose Road, Opposite Hot Chips, Near Malancha Cinema, Tollygunge, Kolkata, West Bengal 700040, India","['(033) 65559090 / ', ' 7003070278, 9073909024']"
30,EDIT - Educators in Design and Internet Technology,West Bengal,Kolkata,,"121, Rash Behari Ave, Triangular Park, Dover Terrace, Kalighat, Kolkata, West Bengal 700029, India",[' 8433935124']
31,Eminent College of Management and Technology - ECMT - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"Moshpukur, Barbaria, Barasat, P.O. Jagannathpur
, Kolkata, West Bengal 700126, India","['(033) 25420269 / ', ' 9051622625, 8420430756']"
32,Exterior Interiors Ltd. - Courses,West Bengal,Kolkata,https://targetstudy.com/university/34033/mewar-university-mu/,"B2-50/51, B.B.T. Road, Bylane 1, Near Bata More, Paschim Jagtala, Mahestala, Kolkata, West Bengal 700141, India","[' 9038447964, 9038447968']"
33,Future Institute of Engineering and Management - FIEM - Courses,West Bengal,Kolkata,http://futureengineering.in/,"Sonarpur Station Road, Kolkata, West Bengal 700150, India","['(033) 24345615 / ', ' 9830088984, 9836107275']"
34,Future Institute of Technology (FIT) - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"240, Garia Boral Main Road, Kolkata, West Bengal 700154, India","[' 9433927101, 9231846371, 9143462779']"
35,Genex Management and IT College - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"Salt Lake, Sector 3, Block - FE 369, Near Tank No. 12, Kolkata, West Bengal 700078, India","['(033) 40047411 / ', ' 9231831737, 9831115343']"
36,George College - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"136, B.B. Ganguly Street, Kolkata, West Bengal 700012, India","['(033) 22176143, 22176142 / ', ' 9830122991, 9830504319, 9836611649']"
37,George College of Management and Science - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"Budge Budge Trunk Road, Chakmir Maheshtala, Kolkata, West Bengal 700141, India","['(033) 24927988, 24927900 / ', ' 8981461469, 9836611649, 9830262208']"
38,Government College of Engineering and Ceramic Technology - Courses,West Bengal,Kolkata,http://www.gcect.ac.in/,"#73, Abinash Chandra Banerjee Lane Belaghata, Kolkata, West Bengal 700010, India","['(033) 23701263, 23633674, 23633675']"
