,index,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
10,325,325,Annasaheb Chudaman Patil College of Engineering - ACPCE,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Plot No. 17, Sion - Panvel Expressway, Opposite Kharghar Railway Station, Sector 4, Kharghar, Navi Mumbai, Mumbai, Maharashtra 410210, India","['(022) 27745722, 27745732 / ', ' 9769111241']"
11,347,347,AP Shah Institute of Technology - APSIT - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Survey No. 12, 13, Opposite Hypercity, Kasar Vadawali, Ghod Bunder Road, Thane (W), Mumbai, Maharashtra 400615, India","['(022) 25973737, 25973738, 25973739 / ', ' 7738305400, 7738940600']"
12,473,473,Atharva College of Engineering - Courses,Maharashtra,Mumbai,http://www.atharvacoe.ac.in/,"Atharva Educational Complex, Malad Marve Road, Charkop Naka, Malad (W), Mumbai, Maharashtra 400095, India",['(022) 40294949']
13,474,474,Atharva Institute of Information Technology - AIIT - Courses,Maharashtra,Mumbai,https://atharvaiit.co.in/,"Atharva Educational Complex, Malad-Marve Road, Charkop Naka, Malad West, Mumbai, Maharashtra 400095, India","['(022) 40294931, 40294949 / ', ' 9867914583']"
14,563,563,Balaji Institute of Management and Technical Studies - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/149/karnataka-state-open-university/,"3, Gupta Bhavan First Floor, Next to Ganatra Nursing Home, Opposite Mulund Railway Station, Mulund West, Mumbai, Maharashtra 400080, India","['(022) 25903013 / ', ' 9930550029']"
15,641,641,"BGPS' Mumbai College of Arts, Commerce and Science - Courses",Maharashtra,Mumbai,https://mumbaicollege.in/,"J.K Jadhav Knowledge Center, Nadkarni Park, Behind B.P.T. Hospital Wadala (East), Mumbai, Maharashtra 400037, India","['(022) 24162168 / ', ' 9763396910']"
16,696,696,Bharati Vidyapeeth College of Engineering - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"CBD, Belapur, Sector 7, Near Kharkhar Railway Station, Mumbai, Maharashtra 400614, India","['(022) 27571074, 27572140']"
17,700,700,Bharatiya Vidya Bhavans Sardar Patel Institute of Technology - Courses,Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"Bhavans Campus, Munshi Nagar, Andheri (West), Mumbai, Maharashtra 400058, India","['(022) 26707440, 26287250']"
18,716,716,Bhavna Trust's Junior and Degree College of Commerce and Science - Courses,Maharashtra,Mumbai,http://www.bhavnatrustscollege.com/,"Plot No. 5, Sunder Baug, Shivaji Chowk, Deonar, Mumbai, Maharashtra 400088, India","['(022) 25518649, 25484950']"
19,821,821,Brainpoint  Institute of Computer Education - Courses,Maharashtra,Mumbai,http://www.brainpoint.net,"Ground Floor, Ratan Abad Society, T.J. Road, Bhatia Hospital Lane, Opposite Wallace Apartments, Grant Road (West), Mumbai, Maharashtra 400007, India","['(022) 23800987, 23885832, 23894921, 23804059']"
