,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
5600,5600,St. Anthony's College - SAC - Courses,Meghalaya,Shillong,http://www.anthonys.ac.in,"Bomfyle Road, East Khasi Hills, Shillong, Meghalaya 793001, India","['(0364) 2223558, 2222558']"
5601,5601,St. Bede's College - Courses,Himachal Pradesh,Shimla,https://www.stbedescollege.in/,"Navbahar, Shimla, Himachal Pradesh 171002, India",['(0177) 2842304']
5602,5602,St. Berchmans College - SBC - Courses,Kerala,Kottayam,https://targetstudy.com/university/165/mahatma-gandhi-university-kerala/,"Changanassery, Kottayam, Kerala 686101, India","['(0481) 2411121 / ', ' 9961231314']"
5603,5603,St. Columba's College - Courses,Jharkhand,Hazaaribagh,https://stcchzb.ac.in/,"NH-33, Ranchi Patna Road, Hazaaribagh, Jharkhand 825302, India",['(06546) 222197']
5604,5604,St. Edmund's College - SEC - Courses,Meghalaya,Shillong,https://targetstudy.com/university/13637/north-eastern-hill-university/,"Old Jowai Road, P.O. Laitumkhrah, Shillong, Meghalaya 793003, India","['(0364) 2224533 / ', ' 9862432280']"
5605,5605,St. Francis College - Courses,Karnataka,Bangalore,https://targetstudy.com/university/84746/bengaluru-central-university/,"P.B No. 3417, 3rd Block, 8th Main, Koramangala, Bangalore, Karnataka 560034, India","['(080) 25531037 / ', ' 9449260409']"
5606,5606,St. Francis De Sales College - Courses,Karnataka,Bangalore,https://targetstudy.com/university/135/bangalore-university/,"Electronic City Post, Hebbagodi, Bangalore, Karnataka 560100, India","['(080) 27834611, 27836165']"
5607,5607,St. Francis Institute of Technology - Courses,Maharashtra,Mumbai,https://www.sfit.ac.in/,"Mount Poinsur, S.V.P. Road, Borivli (West), Mumbai, Maharashtra 400103, India","['(022) 28928585 / ', ' 9167370622, 9167370632, 9167370637']"
5608,5608,St. George College - Courses,Karnataka,Bangalore,https://stgeorgecollege.org.in/,"3rd Main, OMBR Layout, Banaswadi, Bangalore, Karnataka 560043, India","['(080) 25450193, 25450194 / ', ' 9742575774']"
5609,5609,St. George's College - SGC - Courses,Kerala,Kottayam,https://targetstudy.com/university/165/mahatma-gandhi-university-kerala/,"College Road, P.O. Aruvithura, Erattupetta, Kottayam, Kerala 686122, India","['(04822) 272220 / ', ' 8078064220']"
5610,5610,St. Gonsalo Garcia College - Courses,Maharashtra,Thane,https://targetstudy.com/university/194/university-of-mumbai/,"Behind Vasai Cricket Ground, Thane, Maharashtra 401201, India",[' 7767811134']
5611,5611,St. John College of Engineering and Technology - Courses,Maharashtra,Thane,https://targetstudy.com/university/194/university-of-mumbai/,"Village Vevoor, Manor Road, Palghar (E), Thane, Maharashtra 401404, India","['(02525) 297279, 297275 / ', ' 7709177843']"
5612,5612,St. John's College - Courses,Tamil Nadu,Tirunelveli,https://targetstudy.com/university/279/manonmaniam-sundaranar-university/,"Palayamkottai, Tirunelveli, Tamil Nadu 627002, India",['(0462) 2572218']
5613,5613,St. John's P.G. College - Courses,Telangana,Hyderabad,http://www.stjohnspgcollege.in/about-count.html,"Agape Centre, Opposite GAIL, Chengicherla (Village), Boduppal (Post), Ghatkesar (Mandal), Hyderabad, Telangana 500092, India","['(040) 27264201, 27264202 / ', ' 9849139745']"
5614,5614,St. Johns College of Engineering Technology - Courses,Andhra Pradesh,Kurnool,https://targetstudy.com/university/31/jawaharlal-nehru-technological-university/,"Yerrakota, Yemmiganur, Kurnool, Andhra Pradesh 518360, India","['(08512) 228531 / ', ' 9394228566, 9963623801(Principal)']"
5615,5615,St. Johns Institute of Science and Technology - SJIET - Courses,Telangana,Hyderabad,https://targetstudy.com/university/10/osmania-university/,"Manneguda X-Roads, Ramannaguda
, Hyderabad, Telangana 501510, India","[' 9985119801, 9848597585, 9866749525']"
5616,5616,St. Joseph Engineering College - Courses,Karnataka,Mangalore,http://www.sjec.ac.in,"Dharmagiri Vamanjoor, Mangalore, Karnataka 575028, India","['(0824) 2263753, 2263754, 2263755, 2263756']"
5617,5617,St. Joseph University,Universities in Nagaland,,http://stjosephuniv.edu.in/,"Virgin Town, Ikishe Model Village, Dimapur, Nagaland 797115, India","['(03862) 242069 / ', ' 9233905452']"
5618,5618,St. Joseph's College - Courses,West Bengal,Darjeeling,http://www.sjcdarjeeling.edu.in/index.php,"North Point, Darjeeling, West Bengal 734104, India","['(0354) 2252550 / ', ' 9933806759 (Principal)']"
5619,5619,St. Joseph's College (Arts & Science) - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Kundrathur High Road, Kovur, Chennai, Tamil Nadu 600128, India","[' 9444405816, 9444177762, 9444390739']"
5620,5620,St. Joseph's College (Autonomous) - Courses,Karnataka,Bangalore,https://targetstudy.com/university/135/bangalore-university/,"P.O. 27094, 36, Lalbagh Road, Bangalore, Karnataka 560027, India","['(080) 22274079, 22211429']"
5621,5621,St. Joseph's College for Women - Courses,Tamil Nadu,Tiruppur,https://stjosephcollegetup.edu.in/,"Kangeyam Road, Tiruppur, Tamil Nadu 641604, India","['(0421) 2427575, 4355995 / ', ' 9487404045']"
5622,5622,St. Joseph's College for Women (Autonomous) - Courses,Andhra Pradesh,Vishakhapatnam,https://targetstudy.com/university/4168/andhra-university/,"Gnanapuram, Waltair R.S., Vishakhapatnam, Andhra Pradesh 530004, India",['(0891) 2558346']
5623,5623,St. Joseph's College of Arts and Science - Courses,Tamil Nadu,Thiruvallur,https://targetstudy.com/university/301/university-of-madras/,"Kundrathur High Road, Kovur, Thiruvallur, Tamil Nadu 600122, India","['(044) 24780121, 24780137, 24780622, 24780623 / ', ' 9444405816']"
5624,5624,St. Joseph's College of Arts and Science (Autonomous) - Courses,Tamil Nadu,Cuddalore,http://sjctnc.edu.in/,"Cuddalore, Tamil Nadu 607001, India","['(04142) 286311, 286312']"
